Iteration	Posterior	Likelihood	Prior	age_Argia	age_Ischnura	age_Nehalennia	extinction_rate	height_mol	root_age	speciation_rate
239	-8955.986	0	-8955.986	101.6082	101.2005	11.6834	0	102.8123	149.5969	0.04374854
240	-8956.886	0	-8956.886	117.6536	101.2005	21.24984	0	69.58727	134.04	0.04645705
241	-8951.95	0	-8951.95	110.8093	97.2232	27.65239	0	28.06505	131.3031	0.04743024
242	-8962.736	0	-8962.736	126.6271	96.31891	27.65239	0	59.97627	133.4954	0.04491421
243	-8968.385	0	-8968.385	130.1474	91.84199	27.65239	0	113.2039	133.0759	0.0433525
244	-8961.821	0	-8961.821	131.2486	89.01656	27.59366	0	63.47839	135.0672	0.04433629
245	-8954.291	0	-8954.291	100.8083	89.01656	26.80806	0	126.2867	131.7324	0.04568705
246	-8958.911	0	-8958.911	115.6688	117.3728	40.6402	0	109.2378	133.5188	0.04315266
247	-8965.541	0	-8965.541	86.60573	100.6871	36.46859	0	24.8193	132.2227	0.04672257
248	-8972.696	0	-8972.696	118.1642	100.3234	35.82282	0	103.1176	139.6645	0.04496139
249	-8961.251	0	-8961.251	114.7355	100.3234	36.89164	0	7.358991	151.2621	0.04569451
250	-8963.903	0	-8963.903	91.03562	95.17167	36.10565	0	40.7725	143.3876	0.04569451
251	-8960.763	0	-8960.763	94.74598	95.17167	36.10565	0	9.767752	133.1851	0.04569451
252	-8944.325	0	-8944.325	94.74598	88.39227	35.90391	0	17.49745	132.2864	0.04569451
253	-8953.223	0	-8953.223	94.74598	103.006	45.78968	0	4.446601	137.0751	0.04432741
254	-8949.046	0	-8949.046	97.40041	103.006	43.69148	0	8.442845	137.5941	0.04403303
255	-8959.148	0	-8959.148	103.0819	101.1762	43.69148	0	22.30911	151.9801	0.04576437
256	-8977.529	0	-8977.529	103.0819	109.0899	45.88074	0	30.90535	148.7859	0.04587671
257	-8978.138	0	-8978.138	113.953	116.4203	34.48541	0	130.8499	147.4343	0.0465184
258	-8966.562	0	-8966.562	112.227	90.78624	31.88417	0	47.69532	139.3725	0.04497739
259	-8960.702	0	-8960.702	110.2989	97.22689	31.88417	0	22.2076	141.0615	0.04497739
260	-8970.085	0	-8970.085	104.2965	95.79776	32.67933	0	5.097599	147.311	0.0450133
261	-8975.274	0	-8975.274	103.242	109.8295	38.73415	0	9.053484	155.4693	0.0450133
262	-8981.954	0	-8981.954	107.7633	92.17297	46.27806	0	31.96835	139.2599	0.0434328
263	-8976.052	0	-8976.052	99.25164	95.35269	41.66522	0	136.1003	139.5549	0.04475686
264	-8986.446	0	-8986.446	110.2308	95.35269	39.02403	0	160.2953	137.0902	0.04303897
265	-8984.819	0	-8984.819	112.3807	89.79764	34.3906	0	93.07209	143.995	0.0438625
266	-8979.463	0	-8979.463	109.7652	88.16742	26.34276	0	213.7477	139.5413	0.0438625
267	-8981.764	0	-8981.764	114.9201	96.71252	35.8815	0	59.89096	142.9756	0.04396024
268	-8982.733	0	-8982.733	116.4075	100.7567	35.8815	0	55.38934	141.1546	0.04489025
269	-8979.635	0	-8979.635	116.4075	93.70416	33.29381	0	21.03485	145.6674	0.04080807
