Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
880	-5872	-5872.939	0.9391641	0.0399827	0.0406363	0.0345915	0.0401055	0.0538414	0.0556565	0.0552258	0.0545093	0.0540201	0.0783119	0.0737812	0.0610197	0.0631101	0.0712007	0.116561	0.125191	0.0893134	0.0875314	0.0868385	0.1112
890	-5888.572	-5873.434	-15.13706	0.0395162	0.0398227	0.0422465	0.0415919	0.0417403	0.0531046	0.0610337	0.0623137	0.0657903	0.0791941	0.0769818	0.0780973	0.0798687	0.0933053	0.115485	0.123921	0.103779	0.112212	0.1138	0.10886
900	-5857.177	-5872.575	15.39821	0.0386702	0.0385052	0.0378887	0.0377315	0.041872	0.0604566	0.0636497	0.0633707	0.0638543	0.0826247	0.08241	0.0784063	0.078625	0.0843496	0.112778	0.136627	0.129243	0.136864	0.140237	0.13437
910	-5900.025	-5872.64	-27.38559	0.0406042	0.0359471	0.0365571	0.0356346	0.0366351	0.0533666	0.056086	0.0555692	0.0569322	0.0713268	0.064933	0.0634728	0.061415	0.0739278	0.125578	0.127024	0.126777	0.125982	0.146635	0.130195
920	-5877.825	-5876.567	-1.258676	0.0347778	0.0347389	0.0346647	0.0372757	0.0509635	0.0695713	0.0702345	0.0689696	0.0710682	0.0708913	0.067901	0.0672025	0.068017	0.0673553	0.148036	0.111777	0.0983415	0.0983865	0.128473	0.126314
930	-5829.842	-5870.673	40.83052	0.038635	0.036335	0.035565	0.0328587	0.0555709	0.0591558	0.0600626	0.0627269	0.0635464	0.0714709	0.0714203	0.0710899	0.0705063	0.0844207	0.123149	0.120163	0.120256	0.121829	0.119727	0.119498
940	-5865.299	-5873.269	7.970145	0.0444045	0.0393958	0.0338593	0.0351986	0.0549201	0.0549594	0.0549507	0.0626905	0.0810434	0.0798423	0.0796793	0.072647	0.0726014	0.0825159	0.081641	0.0809038	0.079722	0.0972643	0.101712	0.102115
950	-5870.256	-5876.607	6.351585	0.0402236	0.0415783	0.0365178	0.038209	0.0574622	0.0553433	0.0555949	0.0614006	0.0665769	0.0662024	0.0863695	0.0866856	0.0924088	0.0914703	0.0910419	0.0913493	0.0722407	0.120271	0.119571	0.0412405
960	-5805.631	-5877.55	71.91898	0.0448023	0.0452201	0.0444512	0.0474675	0.0571522	0.05467	0.0556158	0.0731829	0.0732623	0.0750828	0.0745821	0.0826466	0.0880312	0.0873663	0.0853631	0.0844701	0.0778257	0.275462	0.271664	0.344311
970	-5875.623	-5874.984	-0.6388123	0.0369489	0.0375744	0.0401136	0.0401082	0.0560789	0.050793	0.0503855	0.0759807	0.0760902	0.0802869	0.0812054	0.0816639	0.0784013	0.076806	0.0811323	0.104338	0.105115	0.122144	0.128087	0.121376
